,cases_medellin,DATA,YEAR,YearWeek,LastDayWeek,MONTH,temperature_medellin,percipitation_medellin,percipitation_medellin_rural,percipitation_medellin_urbano
278,15,"['2012', 'w19']",2012,201219,2012-05-05,5,21.537712097168,54.86497385398914,56.86483222873891,53.72285906200866
279,13,"['2012', 'w20']",2012,201220,2012-05-12,5,21.537712097168,38.84072147934547,37.840473790330016,39.380094585944455
280,9,"['2012', 'w21']",2012,201221,2012-05-19,5,21.537712097168,49.61859080863087,47.205825746923246,50.46900921475548
281,9,"['2012', 'w22']",2012,201222,2012-05-26,5,21.537712097168,14.865197336494706,15.58501569982888,14.5409296108919
282,19,"['2012', 'w23']",2012,201223,2012-06-02,6,21.759841918945302,10.318280008263672,9.94655901590983,10.483911221457241
283,8,"['2012', 'w24']",2012,201224,2012-06-09,6,21.759841918945302,43.45537548280032,41.0523526477353,44.70536557980593
284,15,"['2012', 'w25']",2012,201225,2012-06-16,6,21.759841918945302,35.043729268490004,34.810942931106126,35.38666067035071
285,13,"['2012', 'w26']",2012,201226,2012-06-23,6,21.759841918945302,16.637051785879947,16.518082634262413,16.671492676523766
286,13,"['2012', 'w27']",2012,201227,2012-06-30,6,21.759841918945302,33.096657967836,32.453268496656186,33.4087350196123
287,13,"['2012', 'w28']",2012,201228,2012-07-07,7,22.0857629776001,44.240927196861946,45.86287952678791,43.63074095966694
288,13,"['2012', 'w29']",2012,201229,2012-07-14,7,22.0857629776001,7.3205613048563025,6.059863099441436,7.875895786517031
289,15,"['2012', 'w30']",2012,201230,2012-07-21,7,22.0857629776001,11.811586095931682,11.328044023260402,12.052804395563182
290,12,"['2012', 'w31']",2012,201231,2012-07-28,7,22.0857629776001,26.054491509745212,27.790435625850293,25.22838132622767
291,13,"['2012', 'w32']",2012,201232,2012-08-04,8,21.765525817871104,28.23676996363865,23.586873470066827,30.504409250176657
292,13,"['2012', 'w33']",2012,201233,2012-08-11,8,21.765525817871104,55.39663953678182,51.0541541463511,57.659939904801185
293,17,"['2012', 'w34']",2012,201234,2012-08-18,8,21.765525817871104,64.6321963071077,61.89338572589672,65.94933611862918
294,10,"['2012', 'w35']",2012,201235,2012-08-25,8,21.765525817871104,24.38595774609395,25.542223566396228,23.835801939591533
295,24,"['2012', 'w36']",2012,201236,2012-09-01,9,21.631402969360398,6.4864561026997505,6.55687003377555,6.434695086380071
296,18,"['2012', 'w37']",2012,201237,2012-09-08,9,21.631402969360398,21.263688982801234,22.24796975165749,20.799896077930907
297,18,"['2012', 'w38']",2012,201238,2012-09-15,9,21.631402969360398,30.79409423996421,30.799082664360746,30.75580942474552
298,15,"['2012', 'w39']",2012,201239,2012-09-22,9,21.631402969360398,27.29136656599588,27.362178516618293,27.242941874968643
299,16,"['2012', 'w40']",2012,201240,2012-09-29,9,21.631402969360398,43.95249569673413,44.212904332801344,43.7268422147132
300,21,"['2012', 'w41']",2012,201241,2012-10-06,10,20.921941757202106,25.82893088702416,27.244737180534766,25.252594138937088
301,22,"['2012', 'w42']",2012,201242,2012-10-13,10,20.921941757202106,91.10005739961608,95.13264353977888,89.11506632254559
302,15,"['2012', 'w43']",2012,201243,2012-10-20,10,20.921941757202106,72.15922551921969,77.072156185574,69.77955404472094
303,14,"['2012', 'w44']",2012,201244,2012-10-27,10,20.921941757202106,30.322279578678604,29.834081856640072,30.605193326444148
304,14,"['2012', 'w45']",2012,201245,2012-11-03,11,20.719168186187698,19.606159849220578,19.924217796556047,19.33439150709832
305,12,"['2012', 'w46']",2012,201246,2012-11-10,11,20.719168186187698,68.64347555252428,72.97744643676684,66.33505152492462
306,16,"['2012', 'w47']",2012,201247,2012-11-17,11,20.719168186187698,62.29276906891967,59.28462155061067,64.00722356021431
307,25,"['2012', 'w48']",2012,201248,2012-11-24,11,20.719168186187698,32.22457496066565,30.88018116927953,32.745243331721284
308,10,"['2012', 'w49']",2012,201249,2012-12-01,12,21.154495239257802,40.94897777576919,39.99045955270961,41.46970975549848
309,17,"['2012', 'w50']",2012,201250,2012-12-08,12,21.154495239257802,15.449643882627928,16.06592446202817,15.117094856444066
310,11,"['2012', 'w51']",2012,201251,2012-12-15,12,21.154495239257802,0.0,0.0,0.0
311,5,"['2012', 'w52']",2012,201252,2012-12-22,12,21.154495239257802,11.450502216219153,11.274345839081182,11.50143209906439
312,29,"['2013', 'w01']",2013,201301,2013-01-05,1,21.5749959945679,0.0,0.0,0.0
313,46,"['2013', 'w02']",2013,201302,2013-01-12,1,21.5749959945679,19.532405318918453,20.922434234158427,18.85695922994205
314,31,"['2013', 'w03']",2013,201303,2013-01-19,1,21.5749959945679,11.588065744192344,12.18515464395717,11.285159722960376
315,37,"['2013', 'w04']",2013,201304,2013-01-26,1,21.5749959945679,0.0,0.0,0.0
316,41,"['2013', 'w05']",2013,201305,2013-02-02,2,21.4290189743042,68.95670288838494,79.06822877782555,64.06134677655118
317,41,"['2013', 'w06']",2013,201306,2013-02-09,2,21.4290189743042,7.430183335747079,3.675067188428796,9.233757019904852
318,32,"['2013', 'w07']",2013,201307,2013-02-16,2,21.4290189743042,22.72337274139605,22.480424966213207,22.954709403395285
319,39,"['2013', 'w08']",2013,201308,2013-02-23,2,21.4290189743042,27.3743664455951,32.64123496848028,24.75952016914047
320,50,"['2013', 'w09']",2013,201309,2013-03-02,3,22.172872543335,8.277004050634083,7.345320603582595,8.681788810334808
321,43,"['2013', 'w10']",2013,201310,2013-03-09,3,22.172872543335,17.540288955122413,18.71542974647117,16.98397230978094
322,46,"['2013', 'w11']",2013,201311,2013-03-16,3,22.172872543335,50.51605782908702,51.44883084366286,50.099213673203344
323,52,"['2013', 'w12']",2013,201312,2013-03-23,3,22.172872543335,31.03988167624897,30.450394148872675,31.34253131470635
324,38,"['2013', 'w13']",2013,201313,2013-03-30,3,22.172872543335,18.7896922588796,18.88028505274639,18.74798957659441
325,58,"['2013', 'w14']",2013,201314,2013-04-06,4,22.022708892822298,19.379574942238197,18.942021613881213,19.63645711900743
326,59,"['2013', 'w15']",2013,201315,2013-04-13,4,22.022708892822298,48.04472111488164,45.60755775781071,49.214769798654594
327,53,"['2013', 'w16']",2013,201316,2013-04-20,4,22.022708892822298,46.60642133002287,44.125060423330424,47.75902551048976
328,48,"['2013', 'w17']",2013,201317,2013-04-27,4,22.022708892822298,74.04674765986108,72.57677090041302,74.53628362965057
329,45,"['2013', 'w18']",2013,201318,2013-05-04,5,21.401948928833,48.02843473044147,47.41166791270896,48.20202005001092
330,41,"['2013', 'w19']",2013,201319,2013-05-11,5,21.401948928833,50.781059068344405,53.0826297386833,49.676552271552076
331,62,"['2013', 'w20']",2013,201320,2013-05-18,5,21.401948928833,96.03341094155485,92.56836958991157,97.48603860921469
332,46,"['2013', 'w21']",2013,201321,2013-05-25,5,21.401948928833,45.3562153867995,43.25766371206386,46.28527633647169
333,60,"['2013', 'w22']",2013,201322,2013-06-01,6,21.775293350219695,11.456394906634829,11.445691904238458,11.470207880483837
334,61,"['2013', 'w23']",2013,201323,2013-06-08,6,21.775293350219695,26.77575455559359,26.49181183870288,26.918046516904553
335,66,"['2013', 'w24']",2013,201324,2013-06-15,6,21.775293350219695,38.62950010987485,37.4724085100607,39.27923500941881
336,68,"['2013', 'w25']",2013,201325,2013-06-22,6,21.775293350219695,56.31709693847819,55.15637180171727,56.991952716415405
337,46,"['2013', 'w26']",2013,201326,2013-06-29,6,21.775293350219695,14.775442605546779,14.893805446947255,14.765304581913213
338,51,"['2013', 'w27']",2013,201327,2013-07-06,7,21.983678817749,25.387968048098987,25.2442587380248,25.45274272231134
339,63,"['2013', 'w28']",2013,201328,2013-07-13,7,21.983678817749,8.250656273360544,7.741286561684909,8.546283004944321
340,45,"['2013', 'w29']",2013,201329,2013-07-20,7,21.983678817749,10.753539516962364,11.102466090635405,10.556565586253631
341,46,"['2013', 'w30']",2013,201330,2013-07-27,7,21.983678817749,20.10732342252445,20.34047092043836,19.910574863735928
342,30,"['2013', 'w31']",2013,201331,2013-08-03,8,21.6003341674805,38.669843335996134,36.567336236566746,39.61426685613796
343,41,"['2013', 'w32']",2013,201332,2013-08-10,8,21.6003341674805,72.7941347050279,67.86560021967128,75.31642764281537
344,44,"['2013', 'w33']",2013,201333,2013-08-17,8,21.6003341674805,32.466467551131714,34.76150650494341,31.446674686075074
345,54,"['2013', 'w34']",2013,201334,2013-08-24,8,21.6003341674805,40.93172673379375,39.29385526353035,41.68649362235709
346,36,"['2013', 'w35']",2013,201335,2013-08-31,8,21.6003341674805,57.072596912091605,58.351649781932004,56.34557728502367
347,40,"['2013', 'w36']",2013,201336,2013-09-07,9,21.3465943336487,37.07035721523293,36.32417900251306,37.39938792593061
348,34,"['2013', 'w37']",2013,201337,2013-09-14,9,21.3465943336487,18.306617020292485,19.11090956678713,17.8857116289824
349,39,"['2013', 'w38']",2013,201338,2013-09-21,9,21.3465943336487,23.87361920469246,23.87840313416172,23.8041163143183
