system:time_start,LST_Day_1km
"Nov 29, 2007",22.523
"Nov 30, 2007",
"Dec 1, 2007",
"Dec 2, 2007",
"Dec 3, 2007",
"Dec 4, 2007",
"Dec 5, 2007",
"Dec 6, 2007",
"Dec 7, 2007",
"Dec 8, 2007",23.439
"Dec 9, 2007",19.823
"Dec 10, 2007",25.1
"Dec 11, 2007",
"Dec 12, 2007",
"Dec 13, 2007",
"Dec 14, 2007",
"Dec 15, 2007",
"Dec 16, 2007",
"Dec 17, 2007",
"Dec 18, 2007",
"Dec 19, 2007",24.423
"Dec 20, 2007",23.344
"Dec 21, 2007",25.36
"Dec 22, 2007",20.539
"Dec 23, 2007",
"Dec 24, 2007",
"Dec 25, 2007",21.867
"Dec 26, 2007",
"Dec 27, 2007",
"Dec 28, 2007",21.661
"Dec 29, 2007",
"Dec 30, 2007",15.823
"Dec 31, 2007",25.313
"Jan 1, 2008",
"Jan 2, 2008",19.283
"Jan 3, 2008",
"Jan 4, 2008",23.204
"Jan 5, 2008",21.713
"Jan 6, 2008",23.411
"Jan 7, 2008",
"Jan 8, 2008",
"Jan 9, 2008",
"Jan 10, 2008",
"Jan 11, 2008",22.12
"Jan 12, 2008",
"Jan 13, 2008",
"Jan 14, 2008",
"Jan 15, 2008",
"Jan 16, 2008",
"Jan 17, 2008",
"Jan 18, 2008",19.145
"Jan 19, 2008",21.152
"Jan 20, 2008",27.498
"Jan 21, 2008",20.904
"Jan 22, 2008",
"Jan 23, 2008",19.544
"Jan 24, 2008",
"Jan 25, 2008",23.65
"Jan 26, 2008",
"Jan 27, 2008",26.187
"Jan 28, 2008",24.01
"Jan 29, 2008",26.62
"Jan 30, 2008",19.376
"Jan 31, 2008",
"Feb 1, 2008",23.142
"Feb 2, 2008",
"Feb 3, 2008",26.924
"Feb 4, 2008",20.156
"Feb 5, 2008",25.436
"Feb 6, 2008",27.837
"Feb 7, 2008",
"Feb 8, 2008",20.475
"Feb 9, 2008",
"Feb 10, 2008",
"Feb 11, 2008",21.854
"Feb 12, 2008",
"Feb 13, 2008",25.156
"Feb 14, 2008",
"Feb 15, 2008",23.01
"Feb 16, 2008",
"Feb 17, 2008",27.129
"Feb 18, 2008",
"Feb 19, 2008",
"Feb 20, 2008",
"Feb 21, 2008",
"Feb 22, 2008",22.111
"Feb 23, 2008",23.018
"Feb 24, 2008",24.491
"Feb 25, 2008",
"Feb 26, 2008",26.155
"Feb 27, 2008",
"Feb 28, 2008",
"Feb 29, 2008",21.092
"Mar 1, 2008",19.848
"Mar 2, 2008",23.128
"Mar 3, 2008",
"Mar 4, 2008",
"Mar 5, 2008",
"Mar 6, 2008",
"Mar 7, 2008",
"Mar 8, 2008",
"Mar 9, 2008",24.068
"Mar 10, 2008",
"Mar 11, 2008",18.055
"Mar 12, 2008",
"Mar 13, 2008",
"Mar 14, 2008",
"Mar 15, 2008",25.269
"Mar 16, 2008",23.749
"Mar 17, 2008",
"Mar 18, 2008",22.908
"Mar 19, 2008",
"Mar 20, 2008",24.179
"Mar 21, 2008",
"Mar 22, 2008",27.601
"Mar 23, 2008",23.692
"Mar 24, 2008",
"Mar 25, 2008",24.736
"Mar 26, 2008",20.509
"Mar 27, 2008",26.821
"Mar 28, 2008",
"Mar 29, 2008",24.437
"Mar 30, 2008",
"Mar 31, 2008",
"Apr 1, 2008",21.879
"Apr 2, 2008",24.195
"Apr 3, 2008",24.161
"Apr 4, 2008",
"Apr 5, 2008",23.603
"Apr 6, 2008",24.968
"Apr 7, 2008",
"Apr 8, 2008",
"Apr 9, 2008",
"Apr 10, 2008",24.914
"Apr 11, 2008",
"Apr 12, 2008",24.99
"Apr 13, 2008",
"Apr 14, 2008",28.525
"Apr 15, 2008",25.561
"Apr 16, 2008",
"Apr 17, 2008",22.965
"Apr 18, 2008",
"Apr 19, 2008",
"Apr 20, 2008",
"Apr 21, 2008",
"Apr 22, 2008",
"Apr 23, 2008",
"Apr 24, 2008",
"Apr 25, 2008",
"Apr 26, 2008",27.988
"Apr 27, 2008",
"Apr 28, 2008",26.981
"Apr 29, 2008",
"Apr 30, 2008",
"May 1, 2008",
"May 2, 2008",
"May 3, 2008",
"May 4, 2008",
"May 5, 2008",
"May 6, 2008",
"May 7, 2008",
"May 8, 2008",
"May 9, 2008",
"May 10, 2008",26.606
"May 11, 2008",25.799
"May 12, 2008",24.884
"May 13, 2008",
"May 14, 2008",
"May 15, 2008",
"May 16, 2008",
"May 17, 2008",
"May 18, 2008",24.693
"May 19, 2008",
"May 20, 2008",
"May 21, 2008",22.718
"May 22, 2008",
"May 23, 2008",
"May 24, 2008",
"May 25, 2008",25.505
"May 26, 2008",
"May 27, 2008",
"May 28, 2008",
"May 29, 2008",
"May 30, 2008",21.579
"May 31, 2008",
"Jun 1, 2008",
"Jun 2, 2008",21.434
"Jun 3, 2008",
"Jun 4, 2008",23.206
"Jun 5, 2008",
"Jun 6, 2008",22.144
"Jun 7, 2008",
"Jun 8, 2008",24.649
"Jun 9, 2008",
"Jun 10, 2008",
"Jun 11, 2008",
"Jun 12, 2008",24.143
"Jun 13, 2008",
"Jun 14, 2008",
"Jun 15, 2008",22.753
"Jun 16, 2008",
"Jun 17, 2008",
"Jun 18, 2008",12.55
"Jun 19, 2008",
"Jun 20, 2008",
"Jun 21, 2008",
"Jun 22, 2008",
"Jun 23, 2008",
"Jun 24, 2008",23.312
"Jun 25, 2008",
"Jun 26, 2008",24.422
"Jun 27, 2008",22.992
"Jun 28, 2008",
"Jun 29, 2008",
"Jun 30, 2008",
"Jul 1, 2008",30.633
"Jul 2, 2008",
"Jul 3, 2008",
"Jul 4, 2008",
"Jul 5, 2008",
"Jul 6, 2008",
"Jul 7, 2008",
"Jul 8, 2008",
"Jul 9, 2008",
"Jul 10, 2008",
"Jul 11, 2008",
"Jul 12, 2008",
"Jul 13, 2008",
"Jul 14, 2008",
"Jul 15, 2008",
"Jul 16, 2008",
"Jul 17, 2008",
"Jul 18, 2008",
"Jul 19, 2008",25.016
"Jul 20, 2008",17.992
"Jul 21, 2008",22.804
"Jul 22, 2008",
"Jul 23, 2008",22.829
"Jul 24, 2008",24.454
"Jul 25, 2008",
"Jul 26, 2008",
"Jul 27, 2008",
"Jul 28, 2008",27.142
"Jul 29, 2008",
"Jul 30, 2008",21.842
"Jul 31, 2008",
"Aug 1, 2008",
"Aug 2, 2008",
"Aug 3, 2008",
"Aug 4, 2008",
"Aug 5, 2008",16.088
"Aug 6, 2008",19.611
"Aug 7, 2008",25.615
"Aug 8, 2008",
"Aug 9, 2008",25.41
"Aug 10, 2008",
"Aug 11, 2008",
"Aug 12, 2008",18.026
"Aug 13, 2008",26.264
"Aug 14, 2008",
"Aug 15, 2008",28.029
"Aug 16, 2008",
"Aug 17, 2008",
"Aug 18, 2008",
"Aug 19, 2008",
"Aug 20, 2008",
"Aug 21, 2008",
"Aug 22, 2008",26.565
"Aug 23, 2008",
"Aug 24, 2008",
"Aug 25, 2008",23.079
"Aug 26, 2008",
"Aug 27, 2008",25.333
"Aug 28, 2008",
"Aug 29, 2008",25.93
"Aug 30, 2008",
"Aug 31, 2008",27.031
"Sep 1, 2008",22.697
"Sep 2, 2008",
"Sep 3, 2008",
"Sep 4, 2008",
"Sep 5, 2008",20.508
"Sep 6, 2008",21.721
