,cases_medellin,DATA,YEAR,YearWeek,LastDayWeek,MONTH,temperature,percipitation_medellin,percipitation_medellin_rural,percipitation_medellin_urbano
64,20,"['2008', 'w13']",2008,200813,2008-03-29,3,24.29114285714286,36.11209017177661,36.00587664249439,36.21558038641554
65,16,"['2008', 'w14']",2008,200814,2008-04-05,4,23.433714285714288,42.94403335864379,46.10342120018558,41.64652916564854
66,17,"['2008', 'w15']",2008,200815,2008-04-12,4,24.949571428571428,56.17911386022971,52.86857260920575,57.89478195916622
67,18,"['2008', 'w16']",2008,200816,2008-04-19,4,25.574928571428572,15.41542323751684,15.03359729886631,15.63118816515721
68,12,"['2008', 'w17']",2008,200817,2008-04-26,4,25.835285714285718,75.36401536543009,76.25117201183154,74.82908227465569
69,16,"['2008', 'w18']",2008,200818,2008-05-03,5,26.919,109.9362971148608,109.6878586746068,110.044436147891
70,12,"['2008', 'w19']",2008,200819,2008-05-10,5,26.766714285714283,33.15586721776636,33.29478983164986,33.08986466067647
71,19,"['2008', 'w20']",2008,200820,2008-05-17,5,24.9465,41.01619636033504,40.31778282266884,41.52801356020323
72,12,"['2008', 'w21']",2008,200821,2008-05-24,5,23.879500000000004,128.46334735683,133.9394839314447,125.5818757474969
73,20,"['2008', 'w22']",2008,200822,2008-05-31,5,23.251214285714287,89.76861093892227,86.56663186354339,91.45922366457248
74,21,"['2008', 'w23']",2008,200823,2008-06-07,6,22.383142857142857,74.8234746859786,72.43794303216796,76.33221685831701
75,23,"['2008', 'w24']",2008,200824,2008-06-14,6,24.12514285714286,48.96031800885781,47.14237253631371,49.98500018666643
76,15,"['2008', 'w25']",2008,200825,2008-06-21,6,17.771285714285714,34.77496811715545,33.16386348429509,35.6526196263252
77,13,"['2008', 'w26']",2008,200826,2008-06-28,6,22.466785714285717,66.82606403882639,64.38376112813535,68.21342052226767
78,7,"['2008', 'w27']",2008,200827,2008-07-05,7,27.93657142857143,69.13279799024139,69.42598632821715,69.14270271199558
79,15,"['2008', 'w28']",2008,200828,2008-07-12,7,27.8245,38.88410512518446,38.74781658683998,38.9069034683595
80,15,"['2008', 'w29']",2008,200829,2008-07-19,7,27.42328571428572,71.62021584715635,73.2757519616021,70.94296419161176
81,17,"['2008', 'w30']",2008,200830,2008-07-26,7,23.21307142857143,31.99120885348365,31.78731496691128,31.95249821374176
82,10,"['2008', 'w31']",2008,200831,2008-08-02,8,22.30985714285714,52.40925922110649,51.40153085828403,53.10553652868358
83,15,"['2008', 'w32']",2008,200832,2008-08-09,8,21.452357142857142,18.75989875519343,17.69489489707394,19.2846950491634
84,21,"['2008', 'w33']",2008,200833,2008-08-16,8,24.31407142857143,80.14687787650584,79.84783441709436,80.40524161190068
85,12,"['2008', 'w34']",2008,200834,2008-08-23,8,26.838857142857147,69.85459658253141,68.29547596115997,70.66555984140537
86,23,"['2008', 'w35']",2008,200835,2008-08-30,8,25.068857142857148,94.04843230813796,93.01727662293807,94.79484308531525
