,Medellin,MedellinRural,MedellinUrbano
2008-05-17,127.11139015292049,134.95771078441453,122.98663831651345
2008-05-24,70.48600637867992,67.49726602858392,72.46972757004205
2008-05-31,70.5259121813076,68.1032261081364,71.64617382494293
2008-06-07,66.51134813712149,63.817165516194514,68.05565989895531
2008-06-14,31.557023677718508,29.46219145272665,32.66733979510873
2008-06-21,72.49242761358153,70.09884488317701,73.86633167065382
2008-06-28,68.34663651810868,65.57239499506744,69.86939027128423
2008-07-05,38.011185730577864,41.86522914568583,36.18400663258639
2008-07-12,73.89032424913627,74.37041517847402,73.73979291019535
2008-07-19,19.337259087380538,19.054953882890047,19.447997258466884
2008-07-26,57.2746317798414,57.38996559548493,57.31970056257149
2008-08-02,31.59979663019037,29.596764953815992,32.571973144657946
2008-08-09,54.56782910104687,53.62552886861534,55.07347120314339
2008-08-16,78.72972400398815,79.57994886250887,78.39671522613247
2008-08-23,85.51756048978345,81.45686167933515,87.75320825305289
2008-08-30,69.23075956799957,71.82058530706139,67.97898950180316
2008-09-06,14.307816801142785,14.370295436601133,14.232351092800963
2008-09-13,78.82354372933747,77.05176023446421,79.66331971666686
2008-09-20,56.44804240876952,59.03379682826536,54.98308585135042
2008-09-27,89.93891589453581,89.7177707584584,90.06782169553203
2008-10-04,52.125739634111625,53.258623750659,51.626442665327644
2008-10-11,75.78452673334354,77.80402468252872,74.74580731717268
2008-10-18,53.96154068080297,51.48918963906846,55.17193773177432
2008-10-25,52.311383798811704,54.767463245483995,51.10276058988231
2008-11-01,62.14232555408502,65.95879545257864,60.05163952585695
2008-11-08,45.684662098580226,48.828963831657376,44.23280242682042
2008-11-15,71.78997981980984,74.64722292987621,70.17312241936506
2008-11-22,86.13355977872436,86.68390284644234,86.12001890129922
2008-11-29,2.7248944818451353,0.13500652773944652,3.8721333067179056
2008-12-06,59.90237092061694,60.87218467532724,59.252866715583345
2008-12-13,7.286105457772599,5.841833879867038,8.22461068807982
2008-12-20,0.0,0.0,0.0
