Date,temperature,ffill,backfill,LastDayWeek
2008-06-01,22.38314285714286,22.163857142857147,22.60242857142857,2008-06-07
2008-06-08,24.12514285714286,24.432142857142857,23.818142857142853,2008-06-14
2008-06-15,17.771285714285714,16.922714285714285,18.619857142857143,2008-06-21
2008-06-22,22.466785714285713,20.304285714285708,24.629285714285714,2008-06-28
2008-06-29,27.93657142857143,28.449857142857148,27.423285714285708,2008-07-05
2008-07-06,27.8245,30.633000000000006,25.015999999999995,2008-07-12
2008-07-13,27.423285714285715,29.83057142857143,25.015999999999995,2008-07-19
2008-07-20,23.213071428571432,22.82728571428572,23.598857142857145,2008-07-26
2008-07-27,22.30985714285714,23.72942857142857,20.890285714285714,2008-08-02
2008-08-03,21.452357142857146,22.288999999999998,20.615714285714287,2008-08-09
2008-08-10,24.314071428571427,25.34742857142857,23.280714285714286,2008-08-16
